object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
713,53.085938,-27.784405,223.525509,-54.460748,1,1.8181,1.6267,0.2552,45.4063,0.007,88
730,33.574219,-6.579593,170.455585,-61.548219,1,0.232,0.2262,0.0157,40.2561,0.021,42
745,0.189873,-45.586655,328.254458,-68.969298,1,0.3037,0.2813,1.1523,40.7951,0.007,90
1124,352.711273,-63.823658,316.922299,-51.059403,1,0.1934,0.2415,0.0176,40.4166,0.024,90
1227,35.683594,-5.379379,171.992947,-59.253501,1,0,0,0,,0.02,65
1598,347.84671,-64.760857,318.929827,-49.143596,1,0.1352,0.182,0.0304,39.7279,0.019,90
1632,348.595886,-63.07262,320.023289,-50.71306,1,0.6857,0.7014,0.01,43.1524,0.021,42
1926,149.414062,1.940072,236.565366,41.393323,1,0,0,0,,0.018,65
2072,0.965665,-46.37508,325.845907,-68.579427,1,0.1516,0.19,0.0104,39.8317,0.007,90
2103,346.5,-62.3204,321.951129,-50.736054,1,0.1695,0.5409,0.2283,42.4667,0.02,42
2300,359.446716,-44.20153,331.730015,-69.805709,1,0.236,2.7474,0.5335,46.7959,0.01,42
2330,359.805206,-46.768478,327.135979,-67.829903,1,0.4541,0.5736,0.2827,42.6207,0.011,90
2922,352.398651,-62.696659,318.017427,-51.967966,1,0.1539,0.1469,0.0094,39.2171,0.02,67
3285,150.820312,1.64151,237.994507,42.358984,1,0.161,0.1818,0.0079,39.7258,0.02,42
3489,150.117188,2.836105,236.124718,42.483719,1,1.133,1.4377,0.2168,45.0753,0.016,88
3910,0.58952,-47.161343,325.385896,-67.769893,1,0.1969,2.6766,0.5926,46.7274,0.009,62
4088,0.965665,-46.37508,325.845907,-68.579427,1,0.4833,0.4644,0.0321,42.0691,0.007,88
4171,2.097458,-45.783966,324.73784,-69.478613,1,0,0,0,,0.011,16
4173,152.050781,3.284369,237.157374,44.318466,1,0.5149,0.5512,0.0221,42.5158,0.019,15
4389,151.699219,3.583322,236.533224,44.205648,1,0.2333,0.2205,0.9667,40.1939,0.016,90
4595,349.615387,-63.636005,318.927246,-50.506542,1,0.5919,0.5995,0.0127,42.737,0.018,90
5527,347.861847,-61.943836,321.519104,-51.424048,1,0.1315,0.2487,0.8604,40.4896,0.017,42
6266,0.929752,-44.597992,328.531426,-70.083244,1,0,0,0,,0.011,65
6947,34.277344,-5.67919,170.31493,-60.410322,1,0.568,0.5667,0.0181,42.5888,0.02,90
7033,52.207031,-28.29155,224.208534,-55.300157,1,0.0826,0.085,0.0073,37.9414,0.007,42
7164,347.861847,-61.943836,321.519104,-51.424048,1,0.4299,0.4245,0.0288,41.8371,0.017,90
7409,352.398651,-62.696659,318.017427,-51.967966,1,3.4451,0.5176,1.2609,42.3516,0.02,88
7566,359.446716,-44.20153,331.730015,-69.805709,1,0,0,0,,0.01,16
7698,347.013428,-62.508568,321.472056,-50.73533,1,0.2628,0.1876,0.0216,39.8011,0.018,90
7756,149.414062,2.238686,236.239766,41.565558,1,0,0,0,,0.017,16
8328,1.694561,-45.191612,326.278557,-69.858253,1,0.3779,0.4808,0.297,42.1592,0.011,90
8784,34.101562,-5.829153,170.247753,-60.638325,1,0,0,0,,0.019,16
9006,34.277344,-5.079716,169.526841,-59.95664,1,0,0,0,,0.019,65
9184,0.949367,-45.586655,326.991548,-69.251686,1,1.4031,1.2719,0.4971,44.7463,0.013,88
9936,32.871094,-4.780192,166.959493,-60.615132,1,0.1633,0.0719,0.0389,37.558,0.017,42
9985,150.820312,3.732834,235.666318,43.572109,1,0,0,0,,0.016,65
10321,358.3125,-44.993881,332.185785,-68.685906,1,1.0833,1.1162,0.102,44.3954,0.009,95
10337,54.667969,-27.615883,223.610785,-53.05084,1,0.683,0.6725,0.0089,43.0404,0.009,90
10796,52.910156,-25.944481,220.36635,-54.301439,1,0,0,0,,0.01,65
11165,150.996094,2.985506,236.647967,43.28735,1,0,0,0,,0.02,16
11507,53.085938,-28.122234,224.100909,-54.509752,1,0.3312,0.5095,0.0718,42.3102,0.007,90
11773,150.644531,3.583322,235.698235,43.342784,1,0.2207,0.5279,0.1679,42.4027,0.018,52
11931,149.589844,3.583322,234.885369,42.474696,1,0,0,0,,0.024,65
11978,358.648071,-46.37508,329.462659,-67.716008,1,0.492,0.4605,0.0179,42.0472,0.009,90
12872,347.861847,-61.943836,321.519104,-51.424048,1,0,0,0,,0.017,65
13079,151.699219,3.583322,236.533224,44.205648,1,0.2019,2.447,1.0434,46.4913,0.016,90
13138,346.655182,-63.260487,320.952196,-50.040935,1,0.0756,0.5192,0.2158,42.3596,0.019,52
13459,150.117188,2.836105,236.124718,42.483719,1,0.3495,0.3449,0.6556,41.3068,0.016,90
13504,1.363636,-46.768478,324.669342,-68.371416,1,0.4469,0.3816,0.0766,41.5643,0.008,90
14080,150.996094,4.181528,235.291975,43.970869,1,0,0,0,,0.015,65
14156,53.085938,-27.11186,222.384291,-54.355086,1,0,0,0,,0.007,65
14539,150.644531,3.583322,235.698235,43.342784,1,0.2882,0.2359,0.0434,40.359,0.018,88
14553,359.805206,-46.768478,327.135979,-67.829903,1,1.1897,1.1667,0.1717,44.5143,0.011,95
14601,32.695312,-4.929937,166.868469,-60.84123,1,0.3837,0.3653,0.2005,41.4527,0.018,90
14983,349.615387,-63.636005,318.927246,-50.506542,1,0.3391,0.3238,0.0255,41.1476,0.018,90
15002,349.046051,-61.943836,320.79653,-51.753706,1,0.3409,0.3512,0.0531,41.353,0.017,90
15626,346.130127,-63.07262,321.423103,-50.042305,1,0,0,0,,0.02,16
15718,51.855469,-27.953188,223.543603,-55.56147,1,0.1193,2.3179,0.7672,46.3482,0.008,52
15968,149.414062,2.238686,236.239766,41.565558,1,0.3509,0.4729,0.4544,42.1164,0.017,90
16463,151.699219,3.583322,236.533224,44.205648,1,0.2023,0.1805,0.0254,39.7082,0.016,90
16496,359.415588,-46.768478,327.729895,-67.686097,1,0.3391,0.3895,0.2635,41.6162,0.009,52
16802,53.4375,-29.142223,225.90812,-54.336118,1,0.3145,0.3319,0.0234,41.2094,0.008,90
17285,148.710938,2.836105,235.050801,41.328739,1,0.3073,0.3057,0.0484,41.0025,0.031,90
17366,349.285706,-62.884678,319.786163,-51.046461,1,0.2387,0.2024,0.0247,39.9853,0.018,90
17370,0.949367,-45.586655,326.991548,-69.251686,1,0.3138,0.3391,0.4176,41.2636,0.013,62
18556,51.855469,-26.276812,220.627031,-55.293792,1,0,0,0,,0.014,6
18706,34.277344,-5.67919,170.31493,-60.410322,1,0.1706,0.1766,0.0158,39.6556,0.02,62
18937,348.595886,-63.07262,320.023289,-50.71306,1,0.2142,0.2222,0.0102,40.2123,0.021,90
18952,151.699219,3.583322,236.533224,44.205648,1,0.28,0.2658,1.1944,40.6541,0.016,90
19154,351.382965,-64.011238,317.574052,-50.604657,1,0.2354,2.4138,0.5022,46.4553,0.023,67
19213,1.753247,-46.768478,324.030235,-68.498041,1,0.1254,0.1484,0.0086,39.2403,0.014,62
19866,359.814819,-44.399834,330.775011,-69.801007,1,0.2608,0.2877,0.0235,40.8505,0.009,90
20567,351.259003,-64.386185,317.34486,-50.255113,1,0.1549,0.1481,0.2206,39.235,0.02,62
20934,348.908447,-63.823658,319.169886,-50.176186,1,0.0999,2.5704,1.2137,46.6209,0.018,42
21335,33.574219,-5.379379,168.83809,-60.637536,1,0.1542,0.2082,0.422,40.0542,0.017,90
22184,358.3125,-44.993881,332.185785,-68.685906,1,0.3508,0.385,0.6064,41.5869,0.009,90
23116,53.261719,-27.615883,223.280041,-54.281374,1,0.8237,0.752,0.03,43.3376,0.006,15
23299,33.222656,-4.780192,167.515653,-60.396584,1,0.5869,0.54,0.0151,42.4624,0.018,88
23373,150.117188,3.732834,235.120533,42.993809,1,0.5442,0.5636,0.2043,42.5744,0.02,88
